id,title_english,title_romaji,genres,averageScore,format,popularity,title
3823,The Adventures of Little Lulu and Tubby,Little Lulu to Chicchai Nakama,Comedy Slice of Life,48.0,TV,346,The Adventures of Little Lulu and Tubby
3847,The Wild Swans,Sekai Meisaku Douwa: Hakuchou no Ouji,Fantasy,57.0,MOVIE,710,The Wild Swans
3877,Nell the Wandering Girl,Sasurai no Shoujo Nell,Adventure,65.0,TV,761,Nell the Wandering Girl
4013,Paul's Miracle Strategy Plan,Paul no Miracle Daisakusen,Adventure,58.0,TV,495,Paul's Miracle Strategy Plan
4073,Attack of the Super-Monsters,Kyouryuu Daisensou Aizenborg,Mecha Sci-Fi,59.0,TV,529,Attack of the Super-Monsters
4183,Space Emperor God Sigma,Uchuu Taitei God Sigma,Action Mecha,64.0,TV,756,Space Emperor God Sigma
4199,King Arthur and the Knights of the Round Table,Entaku no Kishi Monogatari: Moero Arthur,Adventure Drama Fantasy Romance,66.0,TV,780,King Arthur and the Knights of the Round Table
4208,Shin Tetsujin 28,Taiyou no Shisha Tetsujin 28-gou,Action Mecha,63.0,TV,834,Shin Tetsujin 28
4411,Future Robot Daltanious,Mirai Robo Daltanias,Comedy Mecha,65.0,TV,821,Future Robot Daltanious
4514,Monarch: The Big Bear of Tallac,Seton Doubutsuki: Kuma no Ko Jacky,Adventure Comedy Drama,60.0,TV,830,Monarch: The Big Bear of Tallac
4515,Bannertail: The Story of Gray Squirrel,Seton Doubutsuki: Risu no Banner,,65.0,TV,708,Bannertail: The Story of Gray Squirrel
4536,Invincible Robo Trider G7,Muteki Robo Trider G7,Comedy Mecha Sci-Fi,59.0,TV,785,Invincible Robo Trider G7
4690,Cyborg 009,Cyborg 009 (1979),Action Adventure Mecha Sci-Fi,67.0,TV,3044,Cyborg 009
4933,The White Whale of Mu,Muu no Hakugei,Action Fantasy Sci-Fi,67.0,TV,881,The White Whale of Mu
4991,Little Women,Wakakusa Monogatari,Slice of Life,50.0,SPECIAL,641,Little Women
5022,Gordian Warrior,Toushi Gordian,Mecha Sci-Fi,65.0,TV,553,Gordian Warrior
5091,Ninja the Wonder Boy,Manga Sarutobi Sasuke,Adventure Comedy Supernatural,58.0,TV,551,Ninja the Wonder Boy
5131,Gloizer X,Groizer X,Mecha Sci-Fi,55.0,TV,587,Gloizer X
5133,One Million-Year Trip: Bander Book,100-mannen Chikyuu no Tabi: Bander Book,Action Adventure Comedy Sci-Fi,60.0,SPECIAL,679,One Million-Year Trip: Bander Book
5272,The Legend of Manxmouse,Tondemo Nezumi Daikatsuyaku,Adventure,45.0,MOVIE,399,The Legend of Manxmouse
5515,Dangard Ace Movie: The Great Space War,Wakusei Robo Danguard Ace: Uchuu Daikaisen,Mecha,45.0,MOVIE,396,Dangard Ace Movie: The Great Space War
